3764240.561,2025-01-17 17-13-22.913
3597347.629,2025-01-17 17-13-23.892
3325784.127,2025-01-17 17-13-24.865
3400714.645,2025-01-17 17-13-25.833
3778665.675,2025-01-17 17-13-26.810
3914949.977,2025-01-17 17-13-27.910
3926111.55,2025-01-17 17-13-28.880
3881944.216,2025-01-17 17-13-29.842
3809497.196,2025-01-17 17-13-30.809
3649017.735,2025-01-17 17-13-31.923
3797687.443,2025-01-17 17-13-32.895
3759631.696,2025-01-17 17-13-33.869
4000608.753,2025-01-17 17-13-34.852
4107510.579,2025-01-17 17-13-35.827
3996263.387,2025-01-17 17-13-36.809
3780773.627,2025-01-17 17-13-37.921
4060528.82,2025-01-17 17-13-38.928
4115770.471,2025-01-17 17-13-39.912
4145021.615,2025-01-17 17-13-40.882
4151724.6,2025-01-17 17-13-41.843
4200532.094,2025-01-17 17-13-42.810
4170688.416,2025-01-17 17-13-43.917
4108635.297,2025-01-17 17-13-44.885
3967426.74,2025-01-17 17-13-45.866
3660246.396,2025-01-17 17-13-46.872
3590392.22,2025-01-17 17-13-47.839
3616353.938,2025-01-17 17-13-48.939
3787433.295,2025-01-17 17-13-49.919
4136496.625,2025-01-17 17-13-50.887
4220864.016,2025-01-17 17-13-51.846
4194043.058,2025-01-17 17-13-52.823
4147166.896,2025-01-17 17-13-53.804
4118405.578,2025-01-17 17-13-54.913
4129844.751,2025-01-17 17-13-55.877
4119998.685,2025-01-17 17-13-56.847
4111849.714,2025-01-17 17-13-57.819
3989832.475,2025-01-17 17-13-58.929
3785725.172,2025-01-17 17-13-59.897
3918408.924,2025-01-17 17-14-00.874
3838533.997,2025-01-17 17-14-01.850
4096207.265,2025-01-17 17-14-02.823
4215157.651,2025-01-17 17-14-03.941
4266263.495,2025-01-17 17-14-04.906
4166099.097,2025-01-17 17-14-05.872
4150283.982,2025-01-17 17-14-06.849
3960677.451,2025-01-17 17-14-07.812
3688671.589,2025-01-17 17-14-08.931
3898622.253,2025-01-17 17-14-09.911
3823159.455,2025-01-17 17-14-10.893
4096569.622,2025-01-17 17-14-11.863
4124259.325,2025-01-17 17-14-12.842
3739551.945,2025-01-17 17-14-13.808
3469923.627,2025-01-17 17-14-14.908
4053424.737,2025-01-17 17-14-15.882
4360148.627,2025-01-17 17-14-16.853
4486940.618,2025-01-17 17-14-17.821
4123333.086,2025-01-17 17-14-18.929
4096376.83,2025-01-17 17-14-19.889
3836753.148,2025-01-17 17-14-20.864
3640460.258,2025-01-17 17-14-21.831
3509481.799,2025-01-17 17-14-22.943
3844399.577,2025-01-17 17-14-23.928
3917002.518,2025-01-17 17-14-24.908
3848829.826,2025-01-17 17-14-25.876
4347153.56,2025-01-17 17-14-26.853
4675893.282,2025-01-17 17-14-27.827
4518189.101,2025-01-17 17-14-28.938
4603401.03,2025-01-17 17-14-29.919
4533354.453,2025-01-17 17-14-30.898
4573373.971,2025-01-17 17-14-31.867
4425190.558,2025-01-17 17-14-32.840
4164320.734,2025-01-17 17-14-33.816
3458014.118,2025-01-17 17-14-34.939
3157357.845,2025-01-17 17-14-35.899
3808445.456,2025-01-17 17-14-36.867
3955499.828,2025-01-17 17-14-37.831
3831948.57,2025-01-17 17-14-38.940
3988517.391,2025-01-17 17-14-39.899
