data,timestamp
3237413.193,1739515514.658215
2983563.388,1739515515.067169
2951319.451,1739515515.579444
2894851.580,1739515516.091069
2870863.439,1739515516.550850
2858610.062,1739515517.062766
2821709.670,1739515517.576337
2775912.849,1739515518.087928
2724587.014,1739515518.599536
2671269.908,1739515519.060767
2622785.142,1739515519.573082
2576052.689,1739515520.085082
2609744.851,1739515520.596929
2672389.353,1739515521.056452
2691008.016,1739515521.567823
2693760.765,1739515522.078696
2785475.698,1739515522.589186
2909217.304,1739515523.049545
2895549.588,1739515523.560975
2832245.652,1739515524.073886
2740870.478,1739515524.584993
2639380.778,1739515525.097633
2521253.722,1739515525.558290
2397129.119,1739515526.070311
2285262.769,1739515526.582411
2177796.381,1739515527.042664
2195595.124,1739515527.604230
2258277.288,1739515528.063227
2316188.731,1739515528.626499
2372398.523,1739515529.086409
2481503.375,1739515529.545883
2609578.046,1739515530.057250
2587946.805,1739515530.620491
2512481.227,1739515531.132284
2460087.300,1739515531.593167
2415982.020,1739515532.054046
2351963.444,1739515532.565855
2280816.564,1739515533.077077
2213205.414,1739515533.588440
2146851.133,1739515534.099941
2123692.277,1739515534.560035
2115973.075,1739515535.071175
2109627.919,1739515535.582133
2103781.808,1739515536.093881
2249305.288,1739515536.605652
2448836.860,1739515537.065380
2535685.955,1739515537.576923
2582167.430,1739515538.088739
2556031.136,1739515538.600712
2503822.802,1739515539.061117
2439324.565,1739515539.572539
2370427.975,1739515540.084137
2268659.398,1739515540.544097
2155144.869,1739515541.055671
2085992.102,1739515541.566702
2032673.649,1739515542.026585
2131431.979,1739515542.589480
2284381.241,1739515543.050040
2410186.327,1739515543.561885
2526290.236,1739515544.073616
2514615.160,1739515544.533913
2457240.393,1739515545.096337
2420510.588,1739515545.556890
2391166.362,1739515546.068296
2358342.605,1739515546.580062
2324287.546,1739515547.091900
2219781.422,1739515547.552145
2090201.923,1739515548.063568
2049849.805,1739515548.575626
2041224.004,1739515549.087763
2045408.166,1739515549.599073
2054143.945,1739515550.060037
2133897.160,1739515550.572036
2238894.288,1739515551.082907
2413560.925,1739515551.595342
2613050.881,1739515552.055218
2706930.689,1739515552.566877
2763038.862,1739515553.078736
2812241.701,1739515553.590591
2858978.355,1739515554.050803
2872760.130,1739515554.562290
2874656.436,1739515555.074219
2867596.453,1739515555.585980
2857321.829,1739515556.097236
2789450.263,1739515556.609582
2700974.175,1739515557.070384
2645172.562,1739515557.581632
2601022.264,1739515558.092781
2667651.156,1739515558.553292
2773767.056,1739515559.065491
2793447.654,1739515559.576499
2782295.080,1739515560.036948
2811505.380,1739515560.548449
2855148.534,1739515561.059840
2927408.268,1739515561.622203
3009903.917,1739515562.082740
2992366.468,1739515562.594000
2939010.126,1739515563.054695
2954748.340,1739515563.566963
2995194.940,1739515564.027099
2897288.409,1739515564.589626
2749859.883,1739515565.101124
2680054.913,1739515565.613443
2637876.316,1739515566.074507
2580466.044,1739515566.586030
2517620.360,1739515567.098089
2469218.006,1739515567.557138
2425936.269,1739515568.068959
2357380.781,1739515568.581033
2279839.138,1739515569.092609
2246331.178,1739515569.552995
2228414.510,1739515570.064581
2268044.986,1739515570.575694
2328059.009,1739515571.087304
2378307.723,1739515571.547666
2425099.268,1739515572.059388
2463144.746,1739515572.570603
2498077.095,1739515573.030831
2419053.629,1739515573.593865
2299555.034,1739515574.054494
2258927.999,1739515574.565750
2246216.831,1739515575.077000
2317905.978,1739515575.589149
2419467.977,1739515576.100166
2436365.222,1739515576.611786
2423292.869,1739515577.020796
2400413.690,1739515577.583848
2374068.395,1739515578.095351
2450885.474,1739515578.555939
2564206.101,1739515579.067993
2632798.385,1739515579.579619
2685501.202,1739515580.091425
2793053.866,1739515580.552210
2920087.380,1739515581.063492
2977318.993,1739515581.575526
3009711.138,1739515582.035928
3021991.129,1739515582.547354
3027117.792,1739515583.059051
3042108.688,1739515583.570346
3060611.435,1739515584.082459
2907322.483,1739515584.542274
2692943.624,1739515585.105230
2606592.605,1739515585.565518
2565640.854,1739515586.077162
2445130.781,1739515586.590882
2296502.289,1739515587.051163
2161819.858,1739515587.562695
2032053.604,1739515588.074537
2030698.260,1739515588.585907
2074495.302,1739515589.097578
2130156.951,1739515589.557704
2190018.879,1739515590.069107
2248553.743,1739515590.581520
2306624.485,1739515591.092440
2306300.790,1739515591.552902
2285410.943,1739515592.063992
2267608.288,1739515592.575494
2250886.624,1739515593.086759
2303349.702,1739515593.598829
2380157.467,1739515594.059337
2398788.118,1739515594.570730
2396900.400,1739515595.081902
2423627.460,1739515595.593367
2460432.234,1739515596.054016
2450858.910,1739515596.565601
2424909.252,1739515597.076803
2415303.220,1739515597.587796
2411457.933,1739515598.048203
2409026.054,1739515598.560188
2407098.259,1739515599.072152
2445482.707,1739515599.531888
2498067.942,1739515600.093554
2600741.587,1739515600.604754
2721052.933,1739515601.065157
2737437.758,1739515601.576498
2717131.176,1739515602.088019
2723031.078,1739515602.599213
2738182.833,1739515603.059789
2686067.422,1739515603.571532
2610236.905,1739515604.082917
2638152.746,1739515604.595050
2702620.186,1739515605.055465
2663882.848,1739515605.567307
2588736.264,1739515606.078449
2561769.125,1739515606.590061
2551744.625,1739515607.050465
2495680.626,1739515607.562131
2423438.674,1739515608.074423
2436028.943,1739515608.586001
2478423.121,1739515609.097221
2505072.516,1739515609.557967
2526195.709,1739515610.069840
2476579.384,1739515610.582150
2402101.477,1739515611.093367
2378028.974,1739515611.553736
2371656.551,1739515612.065217
2330979.214,1739515612.577076
2278279.590,1739515613.088181
2155768.364,1739515613.548608
2008826.271,1739515614.060246
1945385.188,1739515614.571666
1911095.810,1739515615.083948
1957210.240,1739515615.596099
2031385.426,1739515616.107121
2048995.078,1739515616.567678
2046879.352,1739515617.079119
2085610.520,1739515617.590920
2138613.839,1739515618.051897
2242802.312,1739515618.563483
2364882.040,1739515619.075605
2472705.263,1739515619.586368
2575543.822,1739515620.097253
2697150.710,1739515620.609126
2825349.473,1739515621.069417
2939227.174,1739515621.581910
3048074.657,1739515622.095086
3043920.444,1739515622.606188
2999926.272,1739515623.066260
2896042.869,1739515623.578181
2771070.709,1739515624.089707
2633649.382,1739515624.550194
2491850.446,1739515625.062852
2986800.504,1739515625.574819
3704383.131,1739515626.085573
3376249.828,1739515626.596940
2676956.654,1739515627.056972
2273580.034,1739515627.568949
1973742.388,1739515628.080583
1909283.524,1739515628.540898
1926658.066,1739515629.052995
1867230.483,1739515629.563987
1781123.912,1739515630.076582
1939103.099,1739515630.536952
2181759.792,1739515631.048148
2415948.432,1739515631.559569
2647176.191,1739515632.070978
2744899.485,1739515632.582951
2795799.600,1739515633.043390
2773130.778,1739515633.606338
2724652.988,1739515634.067034
2697957.398,1739515634.578169
2678884.439,1739515635.089201
2657223.627,1739515635.600667
2634665.980,1739515636.111710
2507436.985,1739515636.572839
2343632.959,1739515637.084821
2279014.824,1739515637.596059
2248891.090,1739515638.056272
2830850.114,1739515638.567548
3625481.742,1739515639.078965
3996210.469,1739515639.590314
4217272.503,1739515640.101989
3632840.259,1739515640.562815
2762370.820,1739515641.074713
2894121.967,1739515641.586593
3374903.287,1739515642.047111
3581800.606,1739515642.558152
3692382.558,1739515643.070386
3592335.355,1739515643.582071
3418002.975,1739515644.093570
2783526.957,1739515644.553769
1987277.129,1739515645.116526
1577487.695,1739515645.524809
1301224.645,1739515646.087460
1821498.740,1739515646.599463
2614831.654,1739515647.060571
2595250.572,1739515647.572457
2291902.587,1739515648.032912
2758461.842,1739515648.595605
3491870.881,1739515649.056298
3292140.039,1739515649.567586
2763869.565,1739515650.078804
3137806.230,1739515650.590601
3825330.643,1739515651.051008
3405016.369,1739515651.614126
2593432.833,1739515652.074655
2154531.436,1739515652.586766
1844905.849,1739515653.098253
1777712.912,1739515653.558954
1794028.617,1739515654.070376
1768472.012,1739515654.581637
1728474.164,1739515655.092903
2354462.357,1739515655.604791
3209740.842,1739515656.065405
3563829.821,1739515656.577511
3742482.543,1739515657.038081
3650316.793,1739515657.601856
3462982.593,1739515658.061900
3271321.200,1739515658.573476
3078132.323,1739515659.085116
3046258.135,1739515659.545288
3070544.262,1739515660.057202
2528447.516,1739515660.569443
1788763.724,1739515661.045727
2046949.863,1739515661.557452
2647477.210,1739515662.069404
2962409.211,1739515662.579865
3178194.451,1739515663.091606
3258512.489,1739515663.603013
3291335.108,1739515664.063340
3262555.174,1739515664.574249
3212272.389,1739515665.085469
2636854.911,1739515665.597101
1878335.737,1739515666.057628
1593595.608,1739515666.569705
1471476.019,1739515667.081265
2049430.288,1739515667.592055
2866479.501,1739515668.052804
2791448.307,1739515668.564559
2406142.162,1739515669.077100
2164701.452,1739515669.537562
1972926.545,1739515670.100281
1959220.582,1739515670.560934
2006657.037,1739515671.072206
2136088.942,1739515671.583390
2293710.279,1739515672.043942
3016211.195,1739515672.605985
3933363.147,1739515673.066418
4255323.375,1739515673.578650
4368329.327,1739515674.090181
4345693.681,1739515674.550425
4275330.643,1739515675.061525
4159559.867,1739515675.573738
4027854.902,1739515676.085346
3908568.796,1739515676.596287
3793633.929,1739515677.107878
3602997.250,1739515677.619383
3385927.746,1739515678.080619
3210515.675,1739515678.540168
3049571.003,1739515679.052132
2979171.818,1739515679.563418
2940133.810,1739515680.074783
2525858.509,1739515680.586540
1981662.757,1739515681.098483
2318431.834,1739515681.610573
2956470.524,1739515682.071076
3351002.863,1739515682.583520
3661159.570,1739515683.094746
3271731.416,1739515683.555535
2638059.696,1739515684.118839
2847786.785,1739515684.579210
3347679.340,1739515685.090607
3024946.429,1739515685.602346
2416139.608,1739515686.062591
2076350.572,1739515686.574854
1828978.928,1739515687.086327
2325610.799,1739515687.598296
3076125.915,1739515688.059293
3412307.750,1739515688.570822
3604863.834,1739515689.082646
3626665.179,1739515689.593809
3589041.838,1739515690.104679
3571882.444,1739515690.564907
3561827.803,1739515691.076379
2949469.279,1739515691.587622
2127868.084,1739515692.047879
2391369.219,1739515692.609795
3025053.776,1739515693.070166
3316332.589,1739515693.582193
3489258.009,1739515694.093673
2952259.668,1739515694.604805
2168646.854,1739515695.065582
1792643.781,1739515695.576832
1555834.993,1739515696.037074
2011155.192,1739515696.600146
2701486.607,1739515697.060272
3087117.903,1739515697.572529
3367810.641,1739515698.084160
3514917.792,1739515698.595488
3615774.107,1739515699.056144
3068625.744,1739515699.567517
2296073.341,1739515700.079028
2501927.656,1739515700.590352
3036936.584,1739515701.051044
3218364.526,1739515701.562885
3277807.292,1739515702.074544
3196486.607,1739515702.586039
3067215.946,1739515703.098048
2544764.143,1739515703.558307
1886623.626,1739515704.070431
2209560.526,1739515704.581236
2860949.840,1739515705.092766
3259585.183,1739515705.553697
3571402.346,1739515706.065760
3685569.400,1739515706.576594
3731311.441,1739515707.088128
3147307.521,1739515707.548016
2344831.253,1739515708.059784
1974041.438,1739515708.571450
1750541.209,1739515709.083723
2198803.514,1739515709.594711
2874825.950,1739515710.055460
2601696.150,1739515710.566772
2001887.357,1739515711.077693
1666802.713,1739515711.589053
2183873.513,1739515712.049392
2693274.886,1739515712.560484
3200090.659,1739515713.071782
3379192.937,1739515713.583448
3445489.641,1739515714.096255
3512286.000,1739515714.556452
3579260.875,1739515715.068216
3581012.655,1739515715.580564
3560243.533,1739515716.092744
3525401.042,1739515716.604179
3485773.570,1739515717.064604
2899226.065,1739515717.575931
2124001.718,1739515718.087905
2551152.244,1739515718.599888
3386073.799,1739515719.060411
3586489.245,1739515719.571903
3571162.637,1739515720.084211
3559290.751,1739515720.595351
3548603.871,1739515721.055884
3444748.110,1739515721.567303
3308809.581,1739515722.078874
3182378.204,1739515722.590345
3059210.508,1739515723.101892
2936043.212,1739515723.561888
2651963.279,1739515724.073978
2112095.124,1739515724.585176
1622573.694,1739515725.096701
1997784.585,1739515725.608352
2661135.698,1739515726.068842
3072691.533,1739515726.581591
3398317.963,1739515727.041215
3511243.650,1739515727.604513
3552025.469,1739515728.065492
3559423.227,1739515728.525956
3555492.044,1739515729.089050
2993703.812,1739515729.548772
2239715.977,1739515730.060484
2480559.241,1739515730.572273
3054044.663,1739515731.083875
3277468.764,1739515731.595371
3382713.542,1739515732.055689
2868509.611,1739515732.566596
2141588.067,1739515733.078613
2334878.204,1739515733.590552
2834949.691,1739515734.102596
3044257.555,1739515734.563214
3155644.002,1739515735.074725
2530620.936,1739515735.586409
1653339.457,1739515736.098323
1870044.639,1739515736.610229
2448683.578,1739515737.071187
2785950.801,1739515737.582843
3042402.415,1739515738.043561
3222106.113,1739515738.607260
3375952.324,1739515739.068204
3373665.082,1739515739.579291
3318657.238,1739515740.091098
3280582.418,1739515740.603131
3248214.858,1739515741.063144
3303522.722,1739515741.575019
3388369.219,1739515742.087044
3288497.082,1739515742.598999
3126293.899,1739515743.059142
2998923.271,1739515743.571211
2883249.828,1739515744.083064
2318987.637,1739515744.594499
1601941.022,1739515745.054665
1791887.992,1739515745.566108
2281153.032,1739515746.078107
2556472.330,1739515746.591366
2760468.106,1739515747.051522
2845776.099,1739515747.563535
2891342.262,1739515748.075183
3039308.551,1739515748.587118
3221569.196,1739515749.047187
3308383.929,1739515749.559806
3363065.277,1739515750.071773
2797804.913,1739515750.583656
2020522.150,1739515751.095379
2355689.847,1739515751.555610
3058782.738,1739515752.067448
2774587.895,1739515752.579131
2153899.107,1739515753.090449
2048833.601,1739515753.601533
2117161.664,1739515754.061905
2142982.658,1739515754.572806
2154492.216,1739515755.084402
2821394.908,1739515755.595163
3705417.677,1739515756.055421
3443409.684,1739515756.567724
2788174.301,1739515757.079082
2991946.968,1739515757.590144
3482247.539,1739515758.102002
3718554.201,1739515758.613594
3869337.838,1739515759.074823
3856567.277,1739515759.586138
3788596.427,1739515760.098129
3646792.182,1739515760.609199
3480099.256,1739515761.069819
3470152.899,1739515761.582174
3512819.311,1739515762.093445
2997560.181,1739515762.604641
2292050.561,1739515763.065292
1997276.602,1739515763.577341
1840455.929,1739515764.089263
1911995.650,1739515764.600701
2060012.076,1739515765.061160
2197516.900,1739515765.572623
2331483.280,1739515766.084414
2987379.233,1739515766.596410
3816135.121,1739515767.056708
3563681.688,1739515767.567529
2941054.773,1739515768.078750
2550710.812,1739515768.590215
